opportunity_id,chunk_id,chunk_index,chunk_text,source,opportunity_type_canonical,discipline_canonical
kunst_dk_denmark_823c0bbbc582,kunst_dk_denmark_823c0bbbc582_7,7,You cannot receive funding for the following purposes activities initiated ahead of the deadline educational purposes for individuals,kunst_dk_denmark,['Grant/Funding'],['Performing Arts']
kunsten_be_flanders_0c520b567ceb,kunsten_be_flanders_0c520b567ceb_0,0,The Rencontres d’Arles curatorial research grant is aimed at exhibition curators wishing to carry out an original project relating to image or photography.,kunsten_be_flanders,['Grant/Funding'],['Photography']
kulturdirektoratet_norway_424c960502a7,kulturdirektoratet_norway_424c960502a7_0,0,Publishers with a Norwegian organization number may apply for this scheme.,kulturdirektoratet_norway,['Grant/Funding'],['Literature/Writing']
kulturdirektoratet_norway_424c960502a7,kulturdirektoratet_norway_424c960502a7_1,1,It is important that you as the publisher have entered into an agreement with the author and any other creators (such as illustrators and translators) before applying.,kulturdirektoratet_norway,['Grant/Funding'],['Literature/Writing']
dansateliers_rotterdam_33931cad7e6f,dansateliers_rotterdam_33931cad7e6f_0,0,We are looking for experienced dancers and circus artists with a strong physical presence and technical ability.,dansateliers_rotterdam,['Open Call'],"['Dance', 'Circus/Street Arts']"
dansateliers_rotterdam_33931cad7e6f,dansateliers_rotterdam_33931cad7e6f_1,1,"Performers who are versatile, comfortable with working in both acrobatic and dance-based contexts, and who can engage with abstract concepts while bringing their own individuality and creativity to the process.",dansateliers_rotterdam,['Open Call'],"['Dance', 'Circus/Street Arts']"
dansateliers_rotterdam_33931cad7e6f,dansateliers_rotterdam_33931cad7e6f_2,2,It is preferred that you live in the area around Rotterdam.,dansateliers_rotterdam,['Open Call'],"['Dance', 'Circus/Street Arts']"
dansateliers_rotterdam_33931cad7e6f,dansateliers_rotterdam_33931cad7e6f_3,3,"Marta & Kim are searching for a total of 2 additional performers, who meet the following conditions:",dansateliers_rotterdam,['Open Call'],"['Dance', 'Circus/Street Arts']"
dansateliers_rotterdam_33931cad7e6f,dansateliers_rotterdam_33931cad7e6f_4,4,HBO level circus or dance trained,dansateliers_rotterdam,['Open Call'],"['Dance', 'Circus/Street Arts']"
dansateliers_rotterdam_33931cad7e6f,dansateliers_rotterdam_33931cad7e6f_5,5,"Relevant stage experience is highly valued •.Experience and talent for partnering, but also able to execute solo material",dansateliers_rotterdam,['Open Call'],"['Dance', 'Circus/Street Arts']"
dansateliers_rotterdam_33931cad7e6f,dansateliers_rotterdam_33931cad7e6f_6,6,Able to commute to our studio space at Dansateliers Rotterdam (we can’t provide accommodation during rehearsals),dansateliers_rotterdam,['Open Call'],"['Dance', 'Circus/Street Arts']"
dansateliers_rotterdam_33931cad7e6f,dansateliers_rotterdam_33931cad7e6f_7,7,Availability for rehearsals and touring.,dansateliers_rotterdam,['Open Call'],"['Dance', 'Circus/Street Arts']"
mondriaan_fund_a939eddff305,mondriaan_fund_a939eddff305_0,0,"Applications can only be submitted by visual artists who have been professionally active for at least 1 year: If you have completed a Bachelor’s degree programme (HBO) with a visual arts curriculum, the date on your diploma will be considered the start of your professional practice.",mondriaan_fund,['Grant/Funding'],['Visual Arts']
mondriaan_fund_a939eddff305,mondriaan_fund_a939eddff305_1,1,"If there is an interim period between your graduation from the Bachelor’s programme with a visual arts curriculum and the start of your Master’s programme, this period will be considered as part of your professional practice.",mondriaan_fund,['Grant/Funding'],['Visual Arts']
mondriaan_fund_a939eddff305,mondriaan_fund_a939eddff305_2,2,"If you have not completed a Bachelor’s degree programme (HBO) with a visual arts curriculum, the date on which you first presented work in professional art circles will be considered the start of your professional practice.",mondriaan_fund,['Grant/Funding'],['Visual Arts']
mondriaan_fund_a939eddff305,mondriaan_fund_a939eddff305_3,3,"In order to be eligible for a contribution, you must be artistically and substantively active within the visual arts field, and in this capacity, part of the professional art practice in the Netherlands and/or the Caribbean part of the Kingdom.",mondriaan_fund,['Grant/Funding'],['Visual Arts']
mondriaan_fund_a939eddff305,mondriaan_fund_a939eddff305_4,4,You cannot apply for or use a contribution while enrolled to study at educational institutions for e.g.,mondriaan_fund,['Grant/Funding'],['Visual Arts']
mondriaan_fund_a939eddff305,mondriaan_fund_a939eddff305_5,5,"Bachelor’s, Master’s or postdoctoral programmes.",mondriaan_fund,['Grant/Funding'],['Visual Arts']
mondriaan_fund_a939eddff305,mondriaan_fund_a939eddff305_6,6,This also applies to participation in programmes at postgraduate institutions and to PhD programmes.,mondriaan_fund,['Grant/Funding'],['Visual Arts']
mondriaan_fund_a939eddff305,mondriaan_fund_a939eddff305_7,7,The exception is part-time programmes (not Bachelor’s programmes) of less than 20 hours a week.,mondriaan_fund,['Grant/Funding'],['Visual Arts']
kunsten_be_flanders_4d016b2d08b2,kunsten_be_flanders_4d016b2d08b2_0,0,"We are inviting anyone to send us a proposal to create a performance, character or small happening around the (social) aspects of drinking tea (ceremonial, historical, colonial, its gossipy aspect etc) to be presented during our Dress-up-tea-Party.",kunsten_be_flanders,['Open Call'],"['Performing Arts', 'Design/Architecture']"
kunsten_be_flanders_4d016b2d08b2,kunsten_be_flanders_4d016b2d08b2_1,1,"For the ‘Dress-up’ part of our party, we welcome fashion- & costume designers to send a proposal of a selection of pieces/ costumes (from their oeuvre) to be used during the Dress-Up-Tea-Party.",kunsten_be_flanders,['Open Call'],"['Performing Arts', 'Design/Architecture']"
kunsten_be_flanders_4d016b2d08b2,kunsten_be_flanders_4d016b2d08b2_2,2,Your pieces will be actively worn by visitors/participants and will be handled with care.,kunsten_be_flanders,['Open Call'],"['Performing Arts', 'Design/Architecture']"
kunsten_be_flanders_1c78c30f66d3,kunsten_be_flanders_1c78c30f66d3_0,0,"Eligible for support are Dutch-Belgian co-projects across all disciplines, but special attention is given to the performing arts, contemporary visual arts, the creative industries (especially architecture, design, fashion and digital art), and cultural heritage.",kunsten_be_flanders,['Grant/Funding'],"['Multidisciplinary', 'Performing Arts', 'Visual Arts', 'Design/Architecture', 'Cultural Heritage']"
kunsten_be_flanders_1c78c30f66d3,kunsten_be_flanders_1c78c30f66d3_1,1,Multidisciplinary projects are also welcome.,kunsten_be_flanders,['Grant/Funding'],"['Multidisciplinary', 'Performing Arts', 'Visual Arts', 'Design/Architecture', 'Cultural Heritage']"
kunsten_be_flanders_1c78c30f66d3,kunsten_be_flanders_1c78c30f66d3_2,2,"In addition, the embassy welcomes projects that explore innovative formats and presentation methods, cross-border cultural exchange, and initiatives that promote participation and inclusion, equal rights, and sustainability.",kunsten_be_flanders,['Grant/Funding'],"['Multidisciplinary', 'Performing Arts', 'Visual Arts', 'Design/Architecture', 'Cultural Heritage']"
kunsten_be_flanders_1c78c30f66d3,kunsten_be_flanders_1c78c30f66d3_3,3,"Projects must take place in Belgium, unless they involve virtual collaboration.",kunsten_be_flanders,['Grant/Funding'],"['Multidisciplinary', 'Performing Arts', 'Visual Arts', 'Design/Architecture', 'Cultural Heritage']"
kunsten_be_flanders_1c78c30f66d3,kunsten_be_flanders_1c78c30f66d3_4,4,Special attention is given to projects taking place in Wallonia and the Meuse-Rhine Euregion.,kunsten_be_flanders,['Grant/Funding'],"['Multidisciplinary', 'Performing Arts', 'Visual Arts', 'Design/Architecture', 'Cultural Heritage']"
kunsten_be_flanders_1c78c30f66d3,kunsten_be_flanders_1c78c30f66d3_5,5,Note: only the Belgian partner can apply for this funding.,kunsten_be_flanders,['Grant/Funding'],"['Multidisciplinary', 'Performing Arts', 'Visual Arts', 'Design/Architecture', 'Cultural Heritage']"
vkkf_konkursu_grafiks_1c89433f51e6,vkkf_konkursu_grafiks_1c89433f51e6_0,0,"The objectives, tasks, applicant eligibility and other issues related to the conduct of the program competition are set out in the regulations of each target program competition.",vkkf_konkursu_grafiks,['Other'],['Design/Architecture']
kunsten_be_flanders_73af767aad70,kunsten_be_flanders_73af767aad70_0,0,No prior professional experience in performance is required.,kunsten_be_flanders,['Open Call'],['Performing Arts']
kunsten_be_flanders_73af767aad70,kunsten_be_flanders_73af767aad70_1,1,Participants contribute to situated individual and speculative narratives embedded in the architectural and institutional context.,kunsten_be_flanders,['Open Call'],['Performing Arts']
kunsten_be_flanders_73af767aad70,kunsten_be_flanders_73af767aad70_2,2,A connection to the local context and openness to collaborative work are essential.,kunsten_be_flanders,['Open Call'],['Performing Arts']
kunsten_be_flanders_217b1f327dad,kunsten_be_flanders_217b1f327dad_0,0,You are a performing musician,kunsten_be_flanders,['Workshop/Training'],['Music']
kunsten_be_flanders_217b1f327dad,kunsten_be_flanders_217b1f327dad_1,1,You are pursuing a master’s degree or have just graduated as a musician,kunsten_be_flanders,['Workshop/Training'],['Music']
kunsten_be_flanders_217b1f327dad,kunsten_be_flanders_217b1f327dad_2,2,You are building a career in Flanders or Brussels.,kunsten_be_flanders,['Workshop/Training'],['Music']
kunsten_be_flanders_217b1f327dad,kunsten_be_flanders_217b1f327dad_3,3,"Because some of the topics we will discuss (such as the different statutes or developing projects) are tied to a specific context, we believe the workshop will be most useful for those who work or will work in this context.",kunsten_be_flanders,['Workshop/Training'],['Music']
kunsten_be_flanders_217b1f327dad,kunsten_be_flanders_217b1f327dad_4,4,"Specifically, the workshop is intended for those who:",kunsten_be_flanders,['Workshop/Training'],['Music']
kunsten_be_flanders_217b1f327dad,kunsten_be_flanders_217b1f327dad_5,5,have studied or are studying at a Flemish or Brussels Conservatoire.,kunsten_be_flanders,['Workshop/Training'],['Music']
kunsten_be_flanders_217b1f327dad,kunsten_be_flanders_217b1f327dad_6,6,want to build a career in Flanders or Brussels.,kunsten_be_flanders,['Workshop/Training'],['Music']
kunsten_be_flanders_217b1f327dad,kunsten_be_flanders_217b1f327dad_7,7,You work with early music,kunsten_be_flanders,['Workshop/Training'],['Music']
deutscher_uebersetzerfonds_c207b387a453,deutscher_uebersetzerfonds_c207b387a453_0,0,Work grant (target language German),deutscher_uebersetzerfonds,['Grant/Funding'],['Literature/Writing']
kunsten_be_flanders_df27ab545c60,kunsten_be_flanders_df27ab545c60_0,0,"We are looking for a person whose artistic practice is centered around hosting and hospitality, someone who builds an open and curious space where creation can appear unexpectedly.",kunsten_be_flanders,['Open Call'],['Multidisciplinary']
kunsten_be_flanders_df27ab545c60,kunsten_be_flanders_df27ab545c60_1,1,"We are looking for someone who: works across disciplines (textile, movement, ceramics, poetry, cooking, etc.); blends art, hospitality, care, and community; feels comfortable in multilingual settings; is familiar with migration (by lived experience or affinity); can listen, let go, and stay open to the unexpected; prefers process over product; enjoys collaborating with people with no artistic training but strong imagination.",kunsten_be_flanders,['Open Call'],['Multidisciplinary']
kunsten_be_flanders_df27ab545c60,kunsten_be_flanders_df27ab545c60_2,2,"We especially welcome applications from artists with migration backgrounds, artists of color, queer, neurodiverse, and non-binary artists.",kunsten_be_flanders,['Open Call'],['Multidisciplinary']
dgartes_portugal_111bdc1e2ebf,dgartes_portugal_111bdc1e2ebf_0,0,"Private legal persons with headquarters in Portugal, who carry out, on a predominant basis, professional activities here in one or more of the artistic areas provided for in Article 1, paragraph 2 of Decree-Law No.",dgartes_portugal,['Competition/Prize'],['Dance']
dgartes_portugal_111bdc1e2ebf,dgartes_portugal_111bdc1e2ebf_1,1,"103/2017, of 24 August, in its current wording, in accordance with the following access conditions:",dgartes_portugal,['Competition/Prize'],['Dance']
dgartes_portugal_111bdc1e2ebf,dgartes_portugal_111bdc1e2ebf_2,2,Biennial support modality: have at least four years of continuous professional activity;,dgartes_portugal,['Competition/Prize'],['Dance']
dgartes_portugal_111bdc1e2ebf,dgartes_portugal_111bdc1e2ebf_3,3,"Quadriennial support modality: have at least six years of continuous professional activity; have benefited, at least once in the last six years, from financial support from the State through DGARTES in the support type",dgartes_portugal,['Competition/Prize'],['Dance']
dgartes_portugal_111bdc1e2ebf,dgartes_portugal_111bdc1e2ebf_4,4,"Private foundations or public foundations under private law that have another type of continuous funding, ensured by the budget programme of the culture area, as well as associations mainly constituted by public entities and companies in the state business sector and of the autonomous regions, are not admitted to the tender procedure.",dgartes_portugal,['Competition/Prize'],['Dance']
dgartes_portugal_111bdc1e2ebf,dgartes_portugal_111bdc1e2ebf_5,5,Entities that have signed an addendum to renew the sustained support contract in the quadriennial modality are not admitted to the tender procedure.,dgartes_portugal,['Competition/Prize'],['Dance']
dgartes_portugal_111bdc1e2ebf,dgartes_portugal_111bdc1e2ebf_6,6,"Entities must frame their activity in only one application and, in the event of support being granted, the respective contract constitutes the sole support instrument for the period for which it is intended, except as provided for in Article 26(4) of Decree-Law No.",dgartes_portugal,['Competition/Prize'],['Dance']
dgartes_portugal_111bdc1e2ebf,dgartes_portugal_111bdc1e2ebf_7,7,"103/2017, of 24 August, in its current wording.",dgartes_portugal,['Competition/Prize'],['Dance']
kunsten_be_flanders_9b6a847d32f1,kunsten_be_flanders_9b6a847d32f1_0,0,Organizational Focus: Grants are available to legal entities/organizations.,kunsten_be_flanders,['Other'],['Multidisciplinary']
kunsten_be_flanders_9b6a847d32f1,kunsten_be_flanders_9b6a847d32f1_1,1,Open Sectoral Approach: No strict sectoral restrictions; participation is open to all cultural and creative sectors with a focus on participatory and socially-engaged work.,kunsten_be_flanders,['Other'],['Multidisciplinary']
kunsten_be_flanders_9b6a847d32f1,kunsten_be_flanders_9b6a847d32f1_2,2,Limitation is the Audiovisual sector (MEDIA).,kunsten_be_flanders,['Other'],['Multidisciplinary']
kunsten_be_flanders_9b6a847d32f1,kunsten_be_flanders_9b6a847d32f1_3,3,"Benelux Interest: Specifically tailored for organizations from Flanders, Luxembourg, the Netherlands, and Wallonia looking for high-impact international cooperation with Ukraine.",kunsten_be_flanders,['Other'],['Multidisciplinary']
mondriaan_fund_e52bef22781c,mondriaan_fund_e52bef22781c_0,0,"Visual artists, independent curators, art critics and art observers based in the Netherlands and the Caribbean part of the Kingdom.",mondriaan_fund,['Grant/Funding'],['Visual Arts']
mondriaan_fund_e52bef22781c,mondriaan_fund_e52bef22781c_1,1,"The activity associated with the application is part of a publicly accessible programme, such as a lecture, performance, book presentation or participation on a panel.",mondriaan_fund,['Grant/Funding'],['Visual Arts']
mondriaan_fund_e52bef22781c,mondriaan_fund_e52bef22781c_2,2,"The artist, curator or art observer has received an invitation from a contemporary visual art institution, venue, festival or symposium outside of the Netherlands with demonstrable and internationally recognised programming in the field of contemporary visual art.",mondriaan_fund,['Grant/Funding'],['Visual Arts']
mondriaan_fund_e52bef22781c,mondriaan_fund_e52bef22781c_3,3,"The invitation shows that the institution, venue, festival or symposium is offering the artist, curator or art observer a realistic fee for their participation in the public programme.",mondriaan_fund,['Grant/Funding'],['Visual Arts']
mondriaan_fund_e52bef22781c,mondriaan_fund_e52bef22781c_4,4,Voucher International can be awarded no more than twice per applicant within a 12-month period.,mondriaan_fund,['Grant/Funding'],['Visual Arts']
mondriaan_fund_e52bef22781c,mondriaan_fund_e52bef22781c_5,5,"For artists: You must have been working as a professional visual artist for at least 1 year: If you have completed a Bachelor’s degree programme (HBO) with a visual arts curriculum, the date on your diploma will be considered the start of your professional practice.",mondriaan_fund,['Grant/Funding'],['Visual Arts']
mondriaan_fund_e52bef22781c,mondriaan_fund_e52bef22781c_6,6,"If there is an interim period between your graduation from the Bachelor’s programme with a visual arts curriculum and the start of your Master’s programme, this period will be considered as part of your professional practice.",mondriaan_fund,['Grant/Funding'],['Visual Arts']
mondriaan_fund_e52bef22781c,mondriaan_fund_e52bef22781c_7,7,"If you have not completed a Bachelor’s degree programme (HBO) with a visual arts curriculum, the date on which you first presented work in professional art circles will be considered the start of your professional practice.",mondriaan_fund,['Grant/Funding'],['Visual Arts']
mondriaan_fund_e52bef22781c,mondriaan_fund_e52bef22781c_8,8,"In order to be eligible for a contribution, you must be artistically and substantively active within the visual arts field, and in this capacity, part of the professional art practice in the Netherlands and/or the Caribbean part of the Kingdom.",mondriaan_fund,['Grant/Funding'],['Visual Arts']
mondriaan_fund_e52bef22781c,mondriaan_fund_e52bef22781c_9,9,You may not apply for the Voucher International contribution while studying at educational institutions for e.g.,mondriaan_fund,['Grant/Funding'],['Visual Arts']
mondriaan_fund_e52bef22781c,mondriaan_fund_e52bef22781c_10,10,"Bachelor’s, Master’s or postdoctoral programmes.",mondriaan_fund,['Grant/Funding'],['Visual Arts']
mondriaan_fund_e52bef22781c,mondriaan_fund_e52bef22781c_11,11,This also applies to participation in programmes at postgraduate institutions.,mondriaan_fund,['Grant/Funding'],['Visual Arts']
mondriaan_fund_e52bef22781c,mondriaan_fund_e52bef22781c_12,12,"In the case that a visual artist studies part-time (not a Bachelor’s degree programme) for less than 20 hours a week, a grant may be awarded if: the applicant has been professionally active as an artist for at least 3 years, or has attended a Bachelor’s degree programme (HBO) at a visual arts educational institution for at least 3 years and has subsequently been professionally active as an artist for at least 1 year.",mondriaan_fund,['Grant/Funding'],['Visual Arts']
mondriaan_fund_e52bef22781c,mondriaan_fund_e52bef22781c_13,13,"For curators, critics and art observers: You have been working as a professional curator, art critic or art observer in the field of visual art for at least 2 years, and can support this with publications, exhibitions, research and/or projects.",mondriaan_fund,['Grant/Funding'],['Visual Arts']
mondriaan_fund_e52bef22781c,mondriaan_fund_e52bef22781c_14,14,You may not apply for the Voucher International contribution while studying at educational institutions for e.g.,mondriaan_fund,['Grant/Funding'],['Visual Arts']
mondriaan_fund_e52bef22781c,mondriaan_fund_e52bef22781c_15,15,"Bachelor’s, Master’s or postdoctoral programmes.",mondriaan_fund,['Grant/Funding'],['Visual Arts']
mondriaan_fund_e52bef22781c,mondriaan_fund_e52bef22781c_16,16,This also applies to participation in programmes at postgraduate institutions.,mondriaan_fund,['Grant/Funding'],['Visual Arts']
mondriaan_fund_e52bef22781c,mondriaan_fund_e52bef22781c_17,17,"In order to be eligible for a contribution, you must be artistically and substantively active within the visual arts field, and in this capacity, part of the professional art practice in the Netherlands and/or the Caribbean part of the Kingdom.",mondriaan_fund,['Grant/Funding'],['Visual Arts']
mondriaan_fund_e52bef22781c,mondriaan_fund_e52bef22781c_18,18,"For curators and art observers, the activity associated with the application must be part of their independent practice.",mondriaan_fund,['Grant/Funding'],['Visual Arts']
mondriaan_fund_3b86b5d4af2f,mondriaan_fund_3b86b5d4af2f_0,0,"Independent curators, critics, theorists and art observers who have been professionally active for at least 2 years.",mondriaan_fund,['Grant/Funding'],"['Visual Arts', 'Cultural Heritage']"
mondriaan_fund_3b86b5d4af2f,mondriaan_fund_3b86b5d4af2f_1,1,"You have been working as a professional curator or art observer in the visual arts or cultural heritage field for at least 2 years and can demonstrate this with publications, exhibitions, research and/or other projects.",mondriaan_fund,['Grant/Funding'],"['Visual Arts', 'Cultural Heritage']"
mondriaan_fund_3b86b5d4af2f,mondriaan_fund_3b86b5d4af2f_2,2,You,mondriaan_fund,['Grant/Funding'],"['Visual Arts', 'Cultural Heritage']"
kunstlerhaus_bethanien_25455ce5e85d,kunstlerhaus_bethanien_25455ce5e85d_0,0,"To apply, you must: be a New Zealand citizen or permanent resident have a strong national reputation as a visual artist, which means you have: - received critical recognition for your work, or - completed a body of work acknowledged for its artistic excellence You must be available to base yourself in Berlin between 15 January and 15 December 2027.",kunstlerhaus_bethanien,['Residency'],['Visual Arts']
kunstlerhaus_bethanien_25455ce5e85d,kunstlerhaus_bethanien_25455ce5e85d_1,1,Who cannot apply,kunstlerhaus_bethanien,['Residency'],['Visual Arts']
kunstlerhaus_bethanien_25455ce5e85d,kunstlerhaus_bethanien_25455ce5e85d_2,2,Previous recipients of the Residency are not eligible to apply.,kunstlerhaus_bethanien,['Residency'],['Visual Arts']
kunstlerhaus_bethanien_25455ce5e85d,kunstlerhaus_bethanien_25455ce5e85d_3,3,"The previous recipients are Peter Robinson, Michael Stevenson, Ronnie van Hout, Mladen Bizumic, Sara Hughes, Alicia Frankovich, Ben Cauchi, Greg Semu, Oscar Enberg, Biljana Popovic, Ella Sutherland and most recently Areez Katki.",kunstlerhaus_bethanien,['Residency'],['Visual Arts']
kulturdirektoratet_norway_51f931899871,kulturdirektoratet_norway_51f931899871_0,0,The scheme is aimed at applicants who represent the Romani people/Tater people or have broad roots in the group.,kulturdirektoratet_norway,['Grant/Funding'],['Multidisciplinary']
kulturdirektoratet_norway_51f931899871,kulturdirektoratet_norway_51f931899871_1,1,"Grants for preliminary projects may be applied for by private individuals, institutions, organizations, and enterprises affiliated with the Romani people/Tater people.",kulturdirektoratet_norway,['Grant/Funding'],['Multidisciplinary']
kulturdirektoratet_norway_51f931899871,kulturdirektoratet_norway_51f931899871_2,2,Development grants may be applied for by enterprises that are registered in the Register of Business Enterprises with a legal form other than sole proprietorship.,kulturdirektoratet_norway,['Grant/Funding'],['Multidisciplinary']
kulturdirektoratet_norway_51f931899871,kulturdirektoratet_norway_51f931899871_3,3,"Beyond this, there are no requirements regarding a specific organizational form, but you cannot take out dividends from funds you have received in grant funding.",kulturdirektoratet_norway,['Grant/Funding'],['Multidisciplinary']
kulturdirektoratet_norway_51f931899871,kulturdirektoratet_norway_51f931899871_4,4,Applicants that receive a fixed annual state grant are normally not awarded support from this scheme.,kulturdirektoratet_norway,['Grant/Funding'],['Multidisciplinary']
vkkf_konkursu_grafiks_f32630f6a32d,vkkf_konkursu_grafiks_f32630f6a32d_0,0,The State Culture Capital Foundation provides funding to a legal entity or natural person…,vkkf_konkursu_grafiks,['Competition/Prize'],['Music']
fpu_slovakia_c225bfd4c2a2,fpu_slovakia_c225bfd4c2a2_0,0,Eligible applicants may submit two grant applications within the subprogram.,fpu_slovakia,['Grant/Funding'],['Visual Arts']
fpu_slovakia_c225bfd4c2a2,fpu_slovakia_c225bfd4c2a2_1,1,"If the applicant submits more than two applications, the fund will consider only the first two delivered applications as complete, or the first two applications with the lower serial number, and the others will be excluded.",fpu_slovakia,['Grant/Funding'],['Visual Arts']
fpu_slovakia_c225bfd4c2a2,fpu_slovakia_c225bfd4c2a2_2,2,"Within Program 2, the following are not supported: creation and presentation of stage works, organization of local or regional events, activities of public higher education institutions (support may be requested only in Program 5), activities in the field of cultural-educational activity, material and technical equipment, if it does not directly relate to the implementation of the project.",fpu_slovakia,['Grant/Funding'],['Visual Arts']
fpu_slovakia_c225bfd4c2a2,fpu_slovakia_c225bfd4c2a2_3,3,"Support is not intended for: accompanying events that are not related to the original focus, projects aimed exclusively at education or research, unsystematic events without regard to artistic or professional level, technical equipment if it is not demonstrably part of the implementation of the project, events with a purely commercial focus or for a closed audience, the creation of works of art, unless, for example, site-specific art is involved.",fpu_slovakia,['Grant/Funding'],['Visual Arts']
fpu_slovakia_c225bfd4c2a2,fpu_slovakia_c225bfd4c2a2_4,4,"Eligible applicants: Support is intended for entities that demonstrably operate in the above-mentioned area and have the relevant legal form authorizing them to submit an application. commercial company, civic association, foundation, association of legal entities, non-profit organization providing generally beneficial services, non-investment fund.",fpu_slovakia,['Grant/Funding'],['Visual Arts']
fpu_slovakia_c225bfd4c2a2,fpu_slovakia_c225bfd4c2a2_5,5,"In the case of an application for the realization of a competition, the applicant is obliged to submit the competition statute.",fpu_slovakia,['Grant/Funding'],['Visual Arts']
fpu_slovakia_c225bfd4c2a2,fpu_slovakia_c225bfd4c2a2_6,6,"Curatorial concept of the exhibition / salon / festival In the case of a site-specific work, the applicant attaches a sketch / sketches of the prepared work.",fpu_slovakia,['Grant/Funding'],['Visual Arts']
fpu_slovakia_ca6ca107a312,fpu_slovakia_ca6ca107a312_0,0,Support is intended exclusively for gallery projects that are registered in the Register of Museums and Galleries of the Slovak Republic.,fpu_slovakia,['Grant/Funding'],['Visual Arts']
fpu_slovakia_ca6ca107a312,fpu_slovakia_ca6ca107a312_1,1,"The applicant must have one of the following legal forms: a) higher territorial unit, city or municipality, b) budgetary or contributory organization established by a higher territorial unit, c) budgetary or contributory organization established by a municipality, d) civic association, e) foundation, f) association of legal entities, g) non-profit organization providing generally beneficial services, h) non-investment fund.",fpu_slovakia,['Grant/Funding'],['Visual Arts']
kunsten_be_flanders_61e96ffd7526,kunsten_be_flanders_61e96ffd7526_0,0,"TOGETHERNESS is looking for eight dancers/movement artists who are interested in exploring, creating and supporting the project.",kunsten_be_flanders,['Workshop/Training'],['Dance']
kunsten_be_flanders_61e96ffd7526,kunsten_be_flanders_61e96ffd7526_1,1,What are our requirements for participation?,kunsten_be_flanders,['Workshop/Training'],['Dance']
kunsten_be_flanders_61e96ffd7526,kunsten_be_flanders_61e96ffd7526_2,2,Anyone (aged 18 and above) with some experience in dance/movement/performance,kunsten_be_flanders,['Workshop/Training'],['Dance']
kunsten_be_flanders_61e96ffd7526,kunsten_be_flanders_61e96ffd7526_3,3,Available during the creation and performance period,kunsten_be_flanders,['Workshop/Training'],['Dance']
